month,hour,pred_angle,formula_angle
1,0,180,90.0
1,1,180,90.0
1,2,180,90.0
1,3,180,90.0
1,4,169,90.0
1,5,152,90.0
1,6,136,90.0
1,7,55,13.360300000000024
1,8,57,28.23730000000002
1,9,62,43.114300000000014
1,10,69,57.991300000000024
1,11,78,72.86830000000003
1,12,92,90.0
1,13,106,107.1312
1,14,120,122.00820000000002
1,15,134,136.8852
1,16,147,151.7622
1,17,160,166.63920000000002
1,18,90,90.0
1,19,86,90.0
1,20,79,90.0
1,21,69,90.0
1,22,57,90.0
1,23,43,90.0
2,0,180,90.0
2,1,180,90.0
2,2,180,90.0
2,3,180,90.0
2,4,169,90.0
2,5,152,90.0
2,6,136,90.0
2,7,56,13.954700000000003
2,8,58,28.849100000000007
2,9,62,43.74350000000001
2,10,69,58.6379
2,11,79,73.53229999999999
2,12,92,90.0
2,13,106,106.46799999999999
2,14,120,121.36239999999998
2,15,133,136.2568
2,16,147,151.1512
2,17,159,166.04559999999998
2,18,90,90.0
2,19,86,90.0
2,20,79,90.0
2,21,69,90.0
2,22,57,90.0
2,23,43,90.0
3,0,180,90.0
3,1,180,90.0
3,2,180,90.0
3,3,180,90.0
3,4,169,90.0
3,5,152,90.0
3,6,136,90.0
3,7,56,14.739199999999997
3,8,58,29.64399999999999
3,9,63,44.5488
3,10,70,59.453599999999994
3,11,80,74.35839999999999
3,12,92,90.0
3,13,105,105.64049999999997
3,14,119,120.5453
3,15,133,135.4501
3,16,146,150.3549
3,17,159,165.25969999999998
3,18,90,90.0
3,19,86,90.0
3,20,79,90.0
3,21,69,90.0
3,22,57,90.0
3,23,43,90.0
4,0,180,90.0
4,1,180,90.0
4,2,180,90.0
4,3,180,90.0
4,4,169,90.0
4,5,152,90.0
4,6,58,0.6631
4,7,57,15.562899999999999
4,8,59,30.462699999999998
4,9,64,45.36250000000001
4,10,71,60.26230000000001
4,11,80,75.16210000000001
4,12,92,90.0
4,13,104,104.83820000000003
4,14,118,119.73800000000003
4,15,132,134.63780000000003
4,16,145,149.53760000000003
4,17,158,164.43740000000003
4,18,169,179.33720000000005
4,19,86,90.0
4,20,79,90.0
4,21,69,90.0
4,22,57,90.0
4,23,43,90.0
5,0,180,90.0
5,1,180,90.0
5,2,180,90.0
5,3,180,90.0
5,4,169,90.0
5,5,152,90.0
5,6,58,1.354600000000005
5,7,58,16.2372
5,8,60,31.119799999999998
5,9,64,46.002399999999994
5,10,71,60.88499999999999
